Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,219.8866424560547,219.8866424560547,219.8866424560547,219.8866424560547,219.8866424560547,2024-09-09,0,0,0,0,0,0
,219.09034729003903,219.09034729003903,219.09034729003903,219.09034729003903,219.09034729003903,2024-09-10,0,0,0,0,0,0
,221.62852478027344,221.62852478027344,221.62852478027344,221.62852478027344,221.62852478027344,2024-09-11,0,0,0,0,0,0
,221.738037109375,221.738037109375,221.738037109375,221.738037109375,221.738037109375,2024-09-12,0,0,0,0,0,0
,221.4692840576172,221.4692840576172,221.4692840576172,221.4692840576172,221.4692840576172,2024-09-13,0,0,0,0,0,0
,215.3179168701172,215.3179168701172,215.3179168701172,215.3179168701172,215.3179168701172,2024-09-16,0,0,0,0,0,0
,215.7857208251953,215.7857208251953,215.7857208251953,215.7857208251953,215.7857208251953,2024-09-17,0,0,0,0,0,0
,219.66766357421875,219.66766357421875,219.66766357421875,219.66766357421875,219.66766357421875,2024-09-18,0,0,0,0,0,0
,227.80975341796875,227.80975341796875,227.80975341796875,227.80975341796875,227.80975341796875,2024-09-19,0,0,0,0,0,0
,227.1428680419922,227.1428680419922,227.1428680419922,227.1428680419922,227.1428680419922,2024-09-20,0,0,0,0,0,0
,225.4208831787109,225.4208831787109,225.4208831787109,225.4208831787109,225.4208831787109,2024-09-23,0,0,0,0,0,0
,226.31671142578125,226.31671142578125,226.31671142578125,226.31671142578125,226.31671142578125,2024-09-24,0,0,0,0,0,0
,225.32135009765625,225.32135009765625,225.32135009765625,225.32135009765625,225.32135009765625,2024-09-25,0,0,0,0,0,0
,226.46600341796875,226.46600341796875,226.46600341796875,226.46600341796875,226.46600341796875,2024-09-26,0,0,0,0,0,0
,226.73475646972656,226.73475646972656,226.73475646972656,226.73475646972656,226.73475646972656,2024-09-27,0,0,0,0,0,0
,231.920654296875,231.920654296875,231.920654296875,231.920654296875,231.920654296875,2024-09-30,0,0,0,0,0,0
,225.162109375,225.162109375,225.162109375,225.162109375,225.162109375,2024-10-01,0,0,0,0,0,0
,225.72946166992188,225.72946166992188,225.72946166992188,225.72946166992188,225.72946166992188,2024-10-02,0,0,0,0,0,0
,224.6245880126953,224.6245880126953,224.6245880126953,224.6245880126953,224.6245880126953,2024-10-03,0,0,0,0,0,0
,225.7493591308593,225.7493591308593,225.7493591308593,225.7493591308593,225.7493591308593,2024-10-04,0,0,0,0,0,0
,220.6630249023437,220.6630249023437,220.6630249023437,220.6630249023437,220.6630249023437,2024-10-07,0,0,0,0,0,0
,224.72412109375,224.72412109375,224.72412109375,224.72412109375,224.72412109375,2024-10-08,0,0,0,0,0,0
,228.47666931152344,228.47666931152344,228.47666931152344,228.47666931152344,228.47666931152344,2024-10-09,0,0,0,0,0,0
,227.97897338867188,227.97897338867188,227.97897338867188,227.97897338867188,227.97897338867188,2024-10-10,0,0,0,0,0,0
,226.49588012695312,226.49588012695312,226.49588012695312,226.49588012695312,226.49588012695312,2024-10-11,0,0,0,0,0,0
,230.228515625,230.228515625,230.228515625,230.228515625,230.228515625,2024-10-14,0,0,0,0,0,0
,232.76670837402344,232.76670837402344,232.76670837402344,232.76670837402344,232.76670837402344,2024-10-15,0,0,0,0,0,0
,230.70626831054688,230.70626831054688,230.70626831054688,230.70626831054688,230.70626831054688,2024-10-16,0,0,0,0,0,0
,231.07456970214844,231.07456970214844,231.07456970214844,231.07456970214844,231.07456970214844,2024-10-17,0,0,0,0,0,0
,233.911361694336,233.911361694336,233.911361694336,233.911361694336,233.911361694336,2024-10-18,0,0,0,0,0,0
,235.384521484375,235.384521484375,235.384521484375,235.384521484375,235.384521484375,2024-10-21,0,0,0,0,0,0
,234.76739501953125,234.76739501953125,234.76739501953125,234.76739501953125,234.76739501953125,2024-10-22,0,0,0,0,0,0
,229.6910095214844,229.6910095214844,229.6910095214844,229.6910095214844,229.6910095214844,2024-10-23,0,0,0,0,0,0
,229.5018920898437,229.5018920898437,229.5018920898437,229.5018920898437,229.5018920898437,2024-10-24,0,0,0,0,0,0
,230.3380126953125,230.3380126953125,230.3380126953125,230.3380126953125,230.3380126953125,2024-10-25,0,0,0,0,0,0
,232.3187713623047,232.3187713623047,232.3187713623047,232.3187713623047,232.3187713623047,2024-10-28,0,0,0,0,0,0
,232.5875244140625,232.5875244140625,232.5875244140625,232.5875244140625,232.5875244140625,2024-10-29,0,0,0,0,0,0
,229.03407287597656,229.03407287597656,229.03407287597656,229.03407287597656,229.03407287597656,2024-10-30,0,0,0,0,0,0
,224.8634796142578,224.8634796142578,224.8634796142578,224.8634796142578,224.8634796142578,2024-10-31,0,0,0,0,0,0
,221.8773956298828,221.8773956298828,221.8773956298828,221.8773956298828,221.8773956298828,2024-11-01,0,0,0,0,0,0
,220.9815368652344,220.9815368652344,220.9815368652344,220.9815368652344,220.9815368652344,2024-11-04,0,0,0,0,0,0
,222.4148712158203,222.4148712158203,222.4148712158203,222.4148712158203,222.4148712158203,2024-11-05,0,0,0,0,0,0
,221.68826293945312,221.68826293945312,221.68826293945312,221.68826293945312,221.68826293945312,2024-11-06,0,0,0,0,0,0
,226.4261932373047,226.4261932373047,226.4261932373047,226.4261932373047,226.4261932373047,2024-11-07,0,0,0,0,0,0
,226.1571655273437,226.1571655273437,226.1571655273437,226.1571655273437,226.1571655273437,2024-11-08,0,0,0,0,0,0
,223.4368133544922,223.4368133544922,223.4368133544922,223.4368133544922,223.4368133544922,2024-11-11,0,0,0,0,0,0
,223.4368133544922,223.4368133544922,223.4368133544922,223.4368133544922,223.4368133544922,2024-11-12,0,0,0,0,0,0
,224.3236541748047,224.3236541748047,224.3236541748047,224.3236541748047,224.3236541748047,2024-11-13,0,0,0,0,0,0
,227.41270446777344,227.41270446777344,227.41270446777344,227.41270446777344,227.41270446777344,2024-11-14,0,0,0,0,0,0
,224.2041015625,224.2041015625,224.2041015625,224.2041015625,224.2041015625,2024-11-15,0,0,0,0,0,0
,227.2134246826172,227.2134246826172,227.2134246826172,227.2134246826172,227.2134246826172,2024-11-18,0,0,0,0,0,0
,227.4724884033203,227.4724884033203,227.4724884033203,227.4724884033203,227.4724884033203,2024-11-19,0,0,0,0,0,0
,228.18994140625,228.18994140625,228.18994140625,228.18994140625,228.18994140625,2024-11-20,0,0,0,0,0,0
,227.711654663086,227.711654663086,227.711654663086,227.711654663086,227.711654663086,2024-11-21,0,0,0,0,0,0
,229.056869506836,229.056869506836,229.056869506836,229.056869506836,229.056869506836,2024-11-22,0,0,0,0,0,0
,232.04624938964844,232.04624938964844,232.04624938964844,232.04624938964844,232.04624938964844,2024-11-25,0,0,0,0,0,0
,234.2285003662109,234.2285003662109,234.2285003662109,234.2285003662109,234.2285003662109,2024-11-26,0,0,0,0,0,0
,234.0989532470703,234.0989532470703,234.0989532470703,234.0989532470703,234.0989532470703,2024-11-27,0,0,0,0,0,0
,236.490478515625,236.490478515625,236.490478515625,236.490478515625,236.490478515625,2024-11-29,0,0,0,0,0,0
,238.7424774169922,238.7424774169922,238.7424774169922,238.7424774169922,238.7424774169922,2024-12-02,0,0,0,0,0,0
,241.79165649414065,241.79165649414065,241.79165649414065,241.79165649414065,241.79165649414065,2024-12-03,0,0,0,0,0,0
,242.1503753662109,242.1503753662109,242.1503753662109,242.1503753662109,242.1503753662109,2024-12-04,0,0,0,0,0,0
,242.18028259277344,242.18028259277344,242.18028259277344,242.18028259277344,242.18028259277344,2024-12-05,0,0,0,0,0,0
,241.98098754882807,241.98098754882807,241.98098754882807,241.98098754882807,241.98098754882807,2024-12-06,0,0,0,0,0,0
,245.8771514892578,245.8771514892578,245.8771514892578,245.8771514892578,245.8771514892578,2024-12-09,0,0,0,0,0,0
,246.8935546875,246.8935546875,246.8935546875,246.8935546875,246.8935546875,2024-12-10,0,0,0,0,0,0
,245.6180877685547,245.6180877685547,245.6180877685547,245.6180877685547,245.6180877685547,2024-12-11,0,0,0,0,0,0
,247.0828857421875,247.0828857421875,247.0828857421875,247.0828857421875,247.0828857421875,2024-12-12,0,0,0,0,0,0
,247.2522888183593,247.2522888183593,247.2522888183593,247.2522888183593,247.2522888183593,2024-12-13,0,0,0,0,0,0
,250.15196228027344,250.15196228027344,250.15196228027344,250.15196228027344,250.15196228027344,2024-12-16,0,0,0,0,0,0
,252.5833435058593,252.5833435058593,252.5833435058593,252.5833435058593,252.5833435058593,2024-12-17,0,0,0,0,0,0
,247.1725616455078,247.1725616455078,247.1725616455078,247.1725616455078,247.1725616455078,2024-12-18,0,0,0,0,0,0
,248.9063873291016,248.9063873291016,248.9063873291016,248.9063873291016,248.9063873291016,2024-12-19,0,0,0,0,0,0
,253.5897674560547,253.5897674560547,253.5897674560547,253.5897674560547,253.5897674560547,2024-12-20,0,0,0,0,0,0
,254.3670196533203,254.3670196533203,254.3670196533203,254.3670196533203,254.3670196533203,2024-12-23,0,0,0,0,0,0
,257.2866516113281,257.2866516113281,257.2866516113281,257.2866516113281,257.2866516113281,2024-12-24,0,0,0,0,0,0
,258.1037292480469,258.1037292480469,258.1037292480469,258.1037292480469,258.1037292480469,2024-12-26,0,0,0,0,0,0
,254.6858673095703,254.6858673095703,254.6858673095703,254.6858673095703,254.6858673095703,2024-12-27,0,0,0,0,0,0
,251.307861328125,251.307861328125,251.307861328125,251.307861328125,251.307861328125,2024-12-30,0,0,0,0,0,0
,249.5341796875,249.5341796875,249.5341796875,249.5341796875,249.5341796875,2024-12-31,0,0,0,0,0,0
,242.98741149902344,242.98741149902344,242.98741149902344,242.98741149902344,242.98741149902344,2025-01-02,0,0,0,0,0,0
,242.4991455078125,242.4991455078125,242.4991455078125,242.4991455078125,242.4991455078125,2025-01-03,0,0,0,0,0,0
,244.1333465576172,244.1333465576172,244.1333465576172,244.1333465576172,244.1333465576172,2025-01-06,0,0,0,0,0,0
,241.35321044921875,241.35321044921875,241.35321044921875,241.35321044921875,241.35321044921875,2025-01-07,0,0,0,0,0,0
,241.8414764404297,241.8414764404297,241.8414764404297,241.8414764404297,241.8414764404297,2025-01-08,0,0,0,0,0,0
,236.0121917724609,236.0121917724609,236.0121917724609,236.0121917724609,236.0121917724609,2025-01-10,0,0,0,0,0,0
,233.5708465576172,233.5708465576172,233.5708465576172,233.5708465576172,233.5708465576172,2025-01-13,0,0,0,0,0,0
,232.45480346679688,232.45480346679688,232.45480346679688,232.45480346679688,232.45480346679688,2025-01-14,0,0,0,0,0,0
,237.028564453125,237.028564453125,237.028564453125,237.028564453125,237.028564453125,2025-01-15,0,0,0,0,0,0
,227.4525604248047,227.4525604248047,227.4525604248047,227.4525604248047,227.4525604248047,2025-01-16,0,0,0,0,0,0
,229.16647338867188,229.16647338867188,229.16647338867188,229.16647338867188,229.16647338867188,2025-01-17,0,0,0,0,0,0
,221.85243225097656,221.85243225097656,221.85243225097656,221.85243225097656,221.85243225097656,2025-01-21,0,0,0,0,0,0
,223.03823852539065,223.03823852539065,223.03823852539065,223.03823852539065,223.03823852539065,2025-01-22,0,0,0,0,0,0
,222.8688507080078,222.8688507080078,222.8688507080078,222.8688507080078,222.8688507080078,2025-01-23,0,0,0,0,0,0
,221.991943359375,221.991943359375,221.991943359375,221.991943359375,221.991943359375,2025-01-24,0,0,0,0,0,0
,229.04690551757807,229.04690551757807,229.04690551757807,229.04690551757807,229.04690551757807,2025-01-27,0,0,0,0,0,0
,237.41717529296875,237.41717529296875,237.41717529296875,237.41717529296875,237.41717529296875,2025-01-28,0,0,0,0,0,0
,238.51329040527344,238.51329040527344,238.51329040527344,238.51329040527344,238.51329040527344,2025-01-29,0,0,0,0,0,0
,236.7495574951172,236.7495574951172,236.7495574951172,236.7495574951172,236.7495574951172,2025-01-30,0,0,0,0,0,0
,235.16519165039065,235.16519165039065,235.16519165039065,235.16519165039065,235.16519165039065,2025-01-31,0,0,0,0,0,0
,227.20343017578125,227.20343017578125,227.20343017578125,227.20343017578125,227.20343017578125,2025-02-03,0,0,0,0,0,0
,231.9765167236328,231.9765167236328,231.9765167236328,231.9765167236328,231.9765167236328,2025-02-04,0,0,0,0,0,0
,231.64767456054688,231.64767456054688,231.64767456054688,231.64767456054688,231.64767456054688,2025-02-05,0,0,0,0,0,0
,232.39501953125,232.39501953125,232.39501953125,232.39501953125,232.39501953125,2025-02-06,0,0,0,0,0,0
,226.82481384277344,226.82481384277344,226.82481384277344,226.82481384277344,226.82481384277344,2025-02-07,0,0,0,0,0,0
,227.0941162109375,227.0941162109375,227.0941162109375,227.0941162109375,227.0941162109375,2025-02-10,0,0,0,0,0,0
,232.051986694336,232.051986694336,232.051986694336,232.051986694336,232.051986694336,2025-02-11,0,0,0,0,0,0
,236.29161071777344,236.29161071777344,236.29161071777344,236.29161071777344,236.29161071777344,2025-02-12,0,0,0,0,0,0
,240.9402313232422,240.9402313232422,240.9402313232422,240.9402313232422,240.9402313232422,2025-02-13,0,0,0,0,0,0
,244.00274658203125,244.00274658203125,244.00274658203125,244.00274658203125,244.00274658203125,2025-02-14,0,0,0,0,0,0
,243.87306213378903,243.87306213378903,243.87306213378903,243.87306213378903,243.87306213378903,2025-02-18,0,0,0,0,0,0
,244.27207946777344,244.27207946777344,244.27207946777344,244.27207946777344,244.27207946777344,2025-02-19,0,0,0,0,0,0
,245.2297515869141,245.2297515869141,245.2297515869141,245.2297515869141,245.2297515869141,2025-02-20,0,0,0,0,0,0
,244.950424194336,244.950424194336,244.950424194336,244.950424194336,244.950424194336,2025-02-21,0,0,0,0,0,0
,246.49664306640625,246.49664306640625,246.49664306640625,246.49664306640625,246.49664306640625,2025-02-24,0,0,0,0,0,0
,246.4367828369141,246.4367828369141,246.4367828369141,246.4367828369141,246.4367828369141,2025-02-25,0,0,0,0,0,0
,239.77310180664065,239.77310180664065,239.77310180664065,239.77310180664065,239.77310180664065,2025-02-26,0,0,0,0,0,0
,236.72056579589844,236.72056579589844,236.72056579589844,236.72056579589844,236.72056579589844,2025-02-27,0,0,0,0,0,0
,241.24948120117188,241.24948120117188,241.24948120117188,241.24948120117188,241.24948120117188,2025-02-28,0,0,0,0,0,0
,237.4487762451172,237.4487762451172,237.4487762451172,237.4487762451172,237.4487762451172,2025-03-03,0,0,0,0,0,0
,235.3539123535156,235.3539123535156,235.3539123535156,235.3539123535156,235.3539123535156,2025-03-04,0,0,0,0,0,0
,235.1643829345703,235.1643829345703,235.1643829345703,235.1643829345703,235.1643829345703,2025-03-05,0,0,0,0,0,0
,234.75538635253903,234.75538635253903,234.75538635253903,234.75538635253903,234.75538635253903,2025-03-06,0,0,0,0,0,0
,238.4862518310547,238.4862518310547,238.4862518310547,238.4862518310547,238.4862518310547,2025-03-07,0,0,0,0,0,0
