Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1417.846763951259,1417.846763951259,1417.846763951259,1417.846763951259,1417.846763951259,2023-01-02,0,0,0,0,0,0
,1423.32528849572,1423.32528849572,1423.32528849572,1423.32528849572,1423.32528849572,2023-01-03,0,0,0,0,0,0
,1424.4020950067627,1424.4020950067627,1424.4020950067627,1424.4020950067627,1424.4020950067627,2023-01-04,0,0,0,0,0,0
,1410.2611937869729,1410.2611937869729,1410.2611937869729,1410.2611937869729,1410.2611937869729,2023-01-05,0,0,0,0,0,0
,1376.6411390689725,1376.6411390689725,1376.6411390689725,1376.6411390689725,1376.6411390689725,2023-01-06,0,0,0,0,0,0
,1356.2255576840662,1356.2255576840662,1356.2255576840662,1356.2255576840662,1356.2255576840662,2023-01-09,0,0,0,0,0,0
,1387.8791147184363,1387.8791147184363,1387.8791147184363,1387.8791147184363,1387.8791147184363,2023-01-10,0,0,0,0,0,0
,1376.6410323850362,1376.6410323850362,1376.6410323850362,1376.6410323850362,1376.6410323850362,2023-01-11,0,0,0,0,0,0
,1387.8321104596064,1387.8321104596064,1387.8321104596064,1387.8321104596064,1387.8321104596064,2023-01-12,0,0,0,0,0,0
,1389.2837450958568,1389.2837450958568,1389.2837450958568,1389.2837450958568,1389.2837450958568,2023-01-13,0,0,0,0,0,0
,1414.100850323152,1414.100850323152,1414.100850323152,1414.100850323152,1414.100850323152,2023-01-16,0,0,0,0,0,0
,1430.021162290161,1430.021162290161,1430.021162290161,1430.021162290161,1430.021162290161,2023-01-17,0,0,0,0,0,0
,1446.6439437557135,1446.6439437557135,1446.6439437557135,1446.6439437557135,1446.6439437557135,2023-01-18,0,0,0,0,0,0
,1442.102018021819,1442.102018021819,1442.102018021819,1442.102018021819,1442.102018021819,2023-01-19,0,0,0,0,0,0
,1440.3224696586608,1440.3224696586608,1440.3224696586608,1440.3224696586608,1440.3224696586608,2023-01-20,0,0,0,0,0,0
,1437.513121770026,1437.513121770026,1437.513121770026,1437.513121770026,1437.513121770026,2023-01-23,0,0,0,0,0,0
,1460.9253950530808,1460.9253950530808,1460.9253950530808,1460.9253950530808,1460.9253950530808,2023-01-24,0,0,0,0,0,0
,1448.7508449195966,1448.7508449195966,1448.7508449195966,1448.7508449195966,1448.7508449195966,2023-01-25,0,0,0,0,0,0
,1447.81455099958,1447.81455099958,1447.81455099958,1447.81455099958,1447.81455099958,2023-01-27,0,0,0,0,0,0
,1431.7069926445863,1431.7069926445863,1431.7069926445863,1431.7069926445863,1431.7069926445863,2023-01-30,0,0,0,0,0,0
,1450.5303854571384,1450.5303854571384,1450.5303854571384,1450.5303854571384,1450.5303854571384,2023-01-31,0,0,0,0,0,0
,1444.2556654298946,1444.2556654298946,1444.2556654298946,1444.2556654298946,1444.2556654298946,2023-02-01,0,0,0,0,0,0
,1453.43341554854,1453.43341554854,1453.43341554854,1453.43341554854,1453.43341554854,2023-02-02,0,0,0,0,0,0
,1496.0437650760916,1496.0437650760916,1496.0437650760916,1496.0437650760916,1496.0437650760916,2023-02-03,0,0,0,0,0,0
,1496.5118898904536,1496.5118898904536,1496.5118898904536,1496.5118898904536,1496.5118898904536,2023-02-06,0,0,0,0,0,0
,1469.3536663009922,1469.3536663009922,1469.3536663009922,1469.3536663009922,1469.3536663009922,2023-02-07,0,0,0,0,0,0
,1466.0758963821445,1466.0758963821445,1466.0758963821445,1466.0758963821445,1466.0758963821445,2023-02-08,0,0,0,0,0,0
,1494.8263681747696,1494.8263681747696,1494.8263681747696,1494.8263681747696,1494.8263681747696,2023-02-09,0,0,0,0,0,0
,1510.5124348701506,1510.5124348701506,1510.5124348701506,1510.5124348701506,1510.5124348701506,2023-02-10,0,0,0,0,0,0
,1495.575566077777,1495.575566077777,1495.575566077777,1495.575566077777,1495.575566077777,2023-02-13,0,0,0,0,0,0
,1484.0564371278406,1484.0564371278406,1484.0564371278406,1484.0564371278406,1484.0564371278406,2023-02-14,0,0,0,0,0,0
,1483.4010667556165,1483.4010667556165,1483.4010667556165,1483.4010667556165,1483.4010667556165,2023-02-15,0,0,0,0,0,0
,1498.3849499152032,1498.3849499152032,1498.3849499152032,1498.3849499152032,1498.3849499152032,2023-02-16,0,0,0,0,0,0
,1492.7659027830766,1492.7659027830766,1492.7659027830766,1492.7659027830766,1492.7659027830766,2023-02-17,0,0,0,0,0,0
,1484.2906519276423,1484.2906519276423,1484.2906519276423,1484.2906519276423,1484.2906519276423,2023-02-20,0,0,0,0,0,0
,1497.1674632827064,1497.1674632827064,1497.1674632827064,1497.1674632827064,1497.1674632827064,2023-02-21,0,0,0,0,0,0
,1463.7347048279285,1463.7347048279285,1463.7347048279285,1463.7347048279285,1463.7347048279285,2023-02-22,0,0,0,0,0,0
,1470.1496368399694,1470.1496368399694,1470.1496368399694,1470.1496368399694,1470.1496368399694,2023-02-23,0,0,0,0,0,0
,1460.9253538063083,1460.9253538063083,1460.9253538063083,1460.9253538063083,1460.9253538063083,2023-02-24,0,0,0,0,0,0
,1442.1955282782062,1442.1955282782062,1442.1955282782062,1442.1955282782062,1442.1955282782062,2023-02-27,0,0,0,0,0,0
,1419.345153317999,1419.345153317999,1419.345153317999,1419.345153317999,1419.345153317999,2023-02-28,0,0,0,0,0,0
,1397.6184079958705,1397.6184079958705,1397.6184079958705,1397.6184079958705,1397.6184079958705,2023-03-01,0,0,0,0,0,0
,1390.688544462358,1390.688544462358,1390.688544462358,1390.688544462358,1390.688544462358,2023-03-02,0,0,0,0,0,0
,1392.3272724733397,1392.3272724733397,1392.3272724733397,1392.3272724733397,1392.3272724733397,2023-03-03,0,0,0,0,0,0
,1399.6320097355872,1399.6320097355872,1399.6320097355872,1399.6320097355872,1399.6320097355872,2023-03-06,0,0,0,0,0,0
,1395.8860508113924,1395.8860508113924,1395.8860508113924,1395.8860508113924,1395.8860508113924,2023-03-08,0,0,0,0,0,0
,1400.0534774989967,1400.0534774989967,1400.0534774989967,1400.0534774989967,1400.0534774989967,2023-03-09,0,0,0,0,0,0
,1367.2763825081472,1367.2763825081472,1367.2763825081472,1367.2763825081472,1367.2763825081472,2023-03-10,0,0,0,0,0,0
,1371.209495287346,1371.209495287346,1371.209495287346,1371.209495287346,1371.209495287346,2023-03-13,0,0,0,0,0,0
,1349.4829529668243,1349.4829529668243,1349.4829529668243,1349.4829529668243,1349.4829529668243,2023-03-14,0,0,0,0,0,0
,1346.673471098705,1346.673471098705,1346.673471098705,1346.673471098705,1346.673471098705,2023-03-15,0,0,0,0,0,0
,1327.756504312592,1327.756504312592,1327.756504312592,1327.756504312592,1327.756504312592,2023-03-16,0,0,0,0,0,0
,1339.1814535260685,1339.1814535260685,1339.1814535260685,1339.1814535260685,1339.1814535260685,2023-03-17,0,0,0,0,0,0
,1329.5356098656707,1329.5356098656707,1329.5356098656707,1329.5356098656707,1329.5356098656707,2023-03-20,0,0,0,0,0,0
,1310.1503591713015,1310.1503591713015,1310.1503591713015,1310.1503591713015,1310.1503591713015,2023-03-21,0,0,0,0,0,0
,1313.896153377075,1313.896153377075,1313.896153377075,1313.896153377075,1313.896153377075,2023-03-22,0,0,0,0,0,0
,1296.0559709301872,1296.0559709301872,1296.0559709301872,1296.0559709301872,1296.0559709301872,2023-03-23,0,0,0,0,0,0
,1299.8490036281137,1299.8490036281137,1299.8490036281137,1299.8490036281137,1299.8490036281137,2023-03-24,0,0,0,0,0,0
,1298.2100465905298,1298.2100465905298,1298.2100465905298,1298.2100465905298,1298.2100465905298,2023-03-27,0,0,0,0,0,0
,1303.688488145341,1303.688488145341,1303.688488145341,1303.688488145341,1303.688488145341,2023-03-28,0,0,0,0,0,0
,1291.420562584822,1291.420562584822,1291.420562584822,1291.420562584822,1291.420562584822,2023-03-29,0,0,0,0,0,0
,1314.83281440234,1314.83281440234,1314.83281440234,1314.83281440234,1314.83281440234,2023-03-31,0,0,0,0,0,0
,1343.863950499421,1343.863950499421,1343.863950499421,1343.863950499421,1343.863950499421,2023-04-03,0,0,0,0,0,0
,1311.0867160098653,1311.0867160098653,1311.0867160098653,1311.0867160098653,1311.0867160098653,2023-04-05,0,0,0,0,0,0
,1326.0707516737557,1326.0707516737557,1326.0707516737557,1326.0707516737557,1326.0707516737557,2023-04-06,0,0,0,0,0,0
,1333.5157464016077,1333.5157464016077,1333.5157464016077,1333.5157464016077,1333.5157464016077,2023-04-10,0,0,0,0,0,0
,1338.151351122032,1338.151351122032,1338.151351122032,1338.151351122032,1338.151351122032,2023-04-11,0,0,0,0,0,0
,1323.3079968731429,1323.3079968731429,1323.3079968731429,1323.3079968731429,1323.3079968731429,2023-04-12,0,0,0,0,0,0
,1320.2175832221326,1320.2175832221326,1320.2175832221326,1320.2175832221326,1320.2175832221326,2023-04-13,0,0,0,0,0,0
,1170.8940626812932,1170.8940626812932,1170.8940626812932,1170.8940626812932,1170.8940626812932,2023-04-17,0,0,0,0,0,0
,1189.2961620139442,1189.2961620139442,1189.2961620139442,1189.2961620139442,1189.2961620139442,2023-04-18,0,0,0,0,0,0
,1174.6868919454078,1174.6868919454078,1174.6868919454078,1174.6868919454078,1174.6868919454078,2023-04-19,0,0,0,0,0,0
,1152.5389495905642,1152.5389495905642,1152.5389495905642,1152.5389495905642,1152.5389495905642,2023-04-20,0,0,0,0,0,0
,1150.1041013596518,1150.1041013596518,1150.1041013596518,1150.1041013596518,1150.1041013596518,2023-04-21,0,0,0,0,0,0
,1150.0104453082618,1150.0104453082618,1150.0104453082618,1150.0104453082618,1150.0104453082618,2023-04-24,0,0,0,0,0,0
,1148.0905462934963,1148.0905462934963,1148.0905462934963,1148.0905462934963,1148.0905462934963,2023-04-25,0,0,0,0,0,0
,1150.0103642668273,1150.0103642668273,1150.0103642668273,1150.0103642668273,1150.0103642668273,2023-04-26,0,0,0,0,0,0
,1151.883467786171,1151.883467786171,1151.883467786171,1151.883467786171,1151.883467786171,2023-04-27,0,0,0,0,0,0
,1175.9512001745147,1175.9512001745147,1175.9512001745147,1175.9512001745147,1175.9512001745147,2023-04-28,0,0,0,0,0,0
,1174.8741618938295,1174.8741618938295,1174.8741618938295,1174.8741618938295,1174.8741618938295,2023-05-02,0,0,0,0,0,0
,1185.597028992456,1185.597028992456,1185.597028992456,1185.597028992456,1185.597028992456,2023-05-03,0,0,0,0,0,0
,1188.3596544940103,1188.3596544940103,1188.3596544940103,1188.3596544940103,1188.3596544940103,2023-05-04,0,0,0,0,0,0
,1197.7714391140978,1197.7714391140978,1197.7714391140978,1197.7714391140978,1197.7714391140978,2023-05-05,0,0,0,0,0,0
,1182.2724440260474,1182.2724440260474,1182.2724440260474,1182.2724440260474,1182.2724440260474,2023-05-08,0,0,0,0,0,0
,1185.597075154084,1185.597075154084,1185.597075154084,1185.597075154084,1185.597075154084,2023-05-09,0,0,0,0,0,0
,1195.3366025408352,1195.3366025408352,1195.3366025408352,1195.3366025408352,1195.3366025408352,2023-05-10,0,0,0,0,0,0
,1189.5771703584005,1189.5771703584005,1189.5771703584005,1189.5771703584005,1189.5771703584005,2023-05-11,0,0,0,0,0,0
,1173.75058606657,1173.75058606657,1173.75058606657,1173.75058606657,1173.75058606657,2023-05-12,0,0,0,0,0,0
,1170.519683154277,1170.519683154277,1170.519683154277,1170.519683154277,1170.519683154277,2023-05-15,0,0,0,0,0,0
,1184.660746792601,1184.660746792601,1184.660746792601,1184.660746792601,1184.660746792601,2023-05-16,0,0,0,0,0,0
,1180.5400811541865,1180.5400811541865,1180.5400811541865,1180.5400811541865,1180.5400811541865,2023-05-17,0,0,0,0,0,0
,1178.666945184215,1178.666945184215,1178.666945184215,1178.666945184215,1178.666945184215,2023-05-18,0,0,0,0,0,0
,1176.278985664425,1176.278985664425,1176.278985664425,1176.278985664425,1176.278985664425,2023-05-19,0,0,0,0,0,0
,1192.1056388798058,1192.1056388798058,1192.1056388798058,1192.1056388798058,1192.1056388798058,2023-05-22,0,0,0,0,0,0
,1216.6885106968118,1216.6885106968118,1216.6885106968118,1216.6885106968118,1216.6885106968118,2023-05-23,0,0,0,0,0,0
,1213.9727320099048,1213.9727320099048,1213.9727320099048,1213.9727320099048,1213.9727320099048,2023-05-24,0,0,0,0,0,0
,1212.287065188552,1212.287065188552,1212.287065188552,1212.287065188552,1212.287065188552,2023-05-25,0,0,0,0,0,0
,1223.0567689748948,1223.0567689748948,1223.0567689748948,1223.0567689748948,1223.0567689748948,2023-05-26,0,0,0,0,0,0
,1248.0609264704428,1248.0609264704428,1248.0609264704428,1248.0609264704428,1248.0609264704428,2023-05-29,0,0,0,0,0,0
,1231.4851522534068,1231.4851522534068,1231.4851522534068,1231.4851522534068,1231.4851522534068,2023-05-30,0,0,0,0,0,0
,1236.027053313222,1236.027053313222,1236.027053313222,1236.027053313222,1236.027053313222,2023-05-31,0,0,0,0,0,0
,1238.5555605113211,1238.5555605113211,1238.5555605113211,1238.5555605113211,1238.5555605113211,2023-06-01,0,0,0,0,0,0
,1242.3429517033835,1242.3429517033835,1242.3429517033835,1242.3429517033835,1242.3429517033835,2023-06-02,0,0,0,0,0,0
,1237.59760459587,1237.59760459587,1237.59760459587,1237.59760459587,1237.59760459587,2023-06-05,0,0,0,0,0,0
,1222.981729923001,1222.981729923001,1222.981729923001,1222.981729923001,1222.981729923001,2023-06-06,0,0,0,0,0,0
,1224.784959775844,1224.784959775844,1224.784959775844,1224.784959775844,1224.784959775844,2023-06-07,0,0,0,0,0,0
,1220.7039450186055,1220.7039450186055,1220.7039450186055,1220.7039450186055,1220.7039450186055,2023-06-08,0,0,0,0,0,0
,1217.1922691627592,1217.1922691627592,1217.1922691627592,1217.1922691627592,1217.1922691627592,2023-06-09,0,0,0,0,0,0
,1208.6505717685027,1208.6505717685027,1208.6505717685027,1208.6505717685027,1208.6505717685027,2023-06-12,0,0,0,0,0,0
,1233.7064075273615,1233.7064075273615,1233.7064075273615,1233.7064075273615,1233.7064075273615,2023-06-13,0,0,0,0,0,0
,1239.8277526637962,1239.8277526637962,1239.8277526637962,1239.8277526637962,1239.8277526637962,2023-06-14,0,0,0,0,0,0
,1228.0592515206731,1228.0592515206731,1228.0592515206731,1228.0592515206731,1228.0592515206731,2023-06-15,0,0,0,0,0,0
,1221.4632295382082,1221.4632295382082,1221.4632295382082,1221.4632295382082,1221.4632295382082,2023-06-16,0,0,0,0,0,0
,1228.1068115234375,1228.1068115234375,1228.1068115234375,1228.1068115234375,1228.1068115234375,2023-06-19,0,0,0,0,0,0
,1228.1067213313888,1228.1067213313888,1228.1067213313888,1228.1067213313888,1228.1067213313888,2023-06-20,0,0,0,0,0,0
,1233.7536276051042,1233.7536276051042,1233.7536276051042,1233.7536276051042,1233.7536276051042,2023-06-21,0,0,0,0,0,0
,1223.741009475692,1223.741009475692,1223.741009475692,1223.741009475692,1223.741009475692,2023-06-22,0,0,0,0,0,0
,1211.4503912779653,1211.4503912779653,1211.4503912779653,1211.4503912779653,1211.4503912779653,2023-06-23,0,0,0,0,0,0
,1205.5661261290436,1205.5661261290436,1205.5661261290436,1205.5661261290436,1205.5661261290436,2023-06-26,0,0,0,0,0,0
,1214.819510293023,1214.819510293023,1214.819510293023,1214.819510293023,1214.819510293023,2023-06-27,0,0,0,0,0,0
,1224.3104803974434,1224.3104803974434,1224.3104803974434,1224.3104803974434,1224.3104803974434,2023-06-28,0,0,0,0,0,0
,1241.5836573675615,1241.5836573675615,1241.5836573675615,1241.5836573675615,1241.5836573675615,2023-06-30,0,0,0,0,0,0
,1262.2734926096066,1262.2734926096066,1262.2734926096066,1262.2734926096066,1262.2734926096066,2023-07-03,0,0,0,0,0,0
,1275.8454066036068,1275.8454066036068,1275.8454066036068,1275.8454066036068,1275.8454066036068,2023-07-04,0,0,0,0,0,0
,1288.7053287056738,1288.7053287056738,1288.7053287056738,1288.7053287056738,1288.7053287056738,2023-07-05,0,0,0,0,0,0
,1274.184466363292,1274.184466363292,1274.184466363292,1274.184466363292,1274.184466363292,2023-07-06,0,0,0,0,0,0
,1266.069921275566,1266.069921275566,1266.069921275566,1266.069921275566,1266.069921275566,2023-07-07,0,0,0,0,0,0
,1268.489995854001,1268.489995854001,1268.489995854001,1268.489995854001,1268.489995854001,2023-07-10,0,0,0,0,0,0
,1265.5478387081876,1265.5478387081876,1265.5478387081876,1265.5478387081876,1265.5478387081876,2023-07-11,0,0,0,0,0,0
,1282.204025143206,1282.204025143206,1282.204025143206,1282.204025143206,1282.204025143206,2023-07-12,0,0,0,0,0,0
,1266.9240762093295,1266.9240762093295,1266.9240762093295,1266.9240762093295,1266.9240762093295,2023-07-13,0,0,0,0,0,0
,1310.344366986501,1310.344366986501,1310.344366986501,1310.344366986501,1310.344366986501,2023-07-14,0,0,0,0,0,0
,1353.3373455004703,1353.3373455004703,1353.3373455004703,1353.3373455004703,1353.3373455004703,2023-07-17,0,0,0,0,0,0
,1360.9777476537129,1360.9777476537129,1360.9777476537129,1360.9777476537129,1360.9777476537129,2023-07-18,0,0,0,0,0,0
,1410.3296414156002,1410.3296414156002,1410.3296414156002,1410.3296414156002,1410.3296414156002,2023-07-19,0,0,0,0,0,0
,1396.0935284291188,1396.0935284291188,1396.0935284291188,1396.0935284291188,1396.0935284291188,2023-07-20,0,0,0,0,0,0
,1252.9724819521573,1252.9724819521573,1252.9724819521573,1252.9724819521573,1252.9724819521573,2023-07-21,0,0,0,0,0,0
,1272.713318970938,1272.713318970938,1272.713318970938,1272.713318970938,1272.713318970938,2023-07-24,0,0,0,0,0,0
,1268.9170922496144,1268.9170922496144,1268.9170922496144,1268.9170922496144,1268.9170922496144,2023-07-25,0,0,0,0,0,0
,1274.6113706889523,1274.6113706889523,1274.6113706889523,1274.6113706889523,1274.6113706889523,2023-07-26,0,0,0,0,0,0
,1289.4171790586518,1289.4171790586518,1289.4171790586518,1289.4171790586518,1289.4171790586518,2023-07-27,0,0,0,0,0,0
,1284.9090580635998,1284.9090580635998,1284.9090580635998,1284.9090580635998,1284.9090580635998,2023-07-28,0,0,0,0,0,0
,1280.0687502059716,1280.0687502059716,1280.0687502059716,1280.0687502059716,1280.0687502059716,2023-07-31,0,0,0,0,0,0
,1292.644149289172,1292.644149289172,1292.644149289172,1292.644149289172,1292.644149289172,2023-08-01,0,0,0,0,0,0
,1299.572314037208,1299.572314037208,1299.572314037208,1299.572314037208,1299.572314037208,2023-08-02,0,0,0,0,0,0
,1281.2550452536098,1281.2550452536098,1281.2550452536098,1281.2550452536098,1281.2550452536098,2023-08-03,0,0,0,0,0,0
,1299.192637985444,1299.192637985444,1299.192637985444,1299.192637985444,1299.192637985444,2023-08-04,0,0,0,0,0,0
,1317.2252775029856,1317.2252775029856,1317.2252775029856,1317.2252775029856,1317.2252775029856,2023-08-07,0,0,0,0,0,0
,1321.9230384162722,1321.9230384162722,1321.9230384162722,1321.9230384162722,1321.9230384162722,2023-08-08,0,0,0,0,0,0
,1313.523732318999,1313.523732318999,1313.523732318999,1313.523732318999,1313.523732318999,2023-08-09,0,0,0,0,0,0
,1320.7365859986046,1320.7365859986046,1320.7365859986046,1320.7365859986046,1320.7365859986046,2023-08-10,0,0,0,0,0,0
,1321.1163735813448,1321.1163735813448,1321.1163735813448,1321.1163735813448,1321.1163735813448,2023-08-11,0,0,0,0,0,0
,1301.9924649304628,1301.9924649304628,1301.9924649304628,1301.9924649304628,1301.9924649304628,2023-08-14,0,0,0,0,0,0
,1338.9591144663077,1338.9591144663077,1338.9591144663077,1338.9591144663077,1338.9591144663077,2023-08-16,0,0,0,0,0,0
,1347.6905600057007,1347.6905600057007,1347.6905600057007,1347.6905600057007,1347.6905600057007,2023-08-17,0,0,0,0,0,0
,1332.2205127839168,1332.2205127839168,1332.2205127839168,1332.2205127839168,1332.2205127839168,2023-08-18,0,0,0,0,0,0
,1318.9810141103517,1318.9810141103517,1318.9810141103517,1318.9810141103517,1318.9810141103517,2023-08-21,0,0,0,0,0,0
,1333.1696440453838,1333.1696440453838,1333.1696440453838,1333.1696440453838,1333.1696440453838,2023-08-22,0,0,0,0,0,0
,1343.894273641083,1343.894273641083,1343.894273641083,1343.894273641083,1343.894273641083,2023-08-23,0,0,0,0,0,0
,1349.1141374590973,1349.1141374590973,1349.1141374590973,1349.1141374590973,1349.1141374590973,2023-08-24,0,0,0,0,0,0
